2012-03-05 17:07:48 Debug: Notice (8): Undefined index: id in [C:\xampp\htdocs\it-nihongo-t09\japanit\cake\libs\model\model.php, line 1329]
2012-03-05 22:00:22 Debug: Notice (8): Undefined index: id in [C:\xampp\htdocs\it-nihongo-t09\japanit\cake\libs\model\model.php, line 1329]
2012-03-06 00:53:01 Debug: Notice (8): Undefined index: userid in [C:\xampp\htdocs\it-nihongo-t09\japanit\app\views\users\index.ctp, line 25]
2012-03-19 03:14:13 Debug: Notice (8): Undefined index: role in [C:\wamp\www\itjp-project\controllers\users_controller.php, line 270]
2012-03-19 03:14:13 Debug: Notice (8): Undefined index: website_count in [C:\wamp\www\itjp-project\controllers\users_controller.php, line 290]
2012-03-19 03:26:08 Debug: Notice (8): Undefined index: Request in [C:\wamp\www\itjp-project\controllers\users_controller.php, line 419]
2012-03-19 03:26:08 Debug: Notice (8): Undefined index: newsletter_flag in [C:\wamp\www\itjp-project\views\users\admin_edit.ctp, line 119]
2012-03-19 03:26:08 Debug: Notice (8): Undefined index: critical_flag in [C:\wamp\www\itjp-project\views\users\admin_edit.ctp, line 137]
2012-03-19 03:26:08 Debug: Notice (8): Undefined property: View::$Paginator in [C:\wamp\www\itjp-project\views\users\admin_edit.ctp, line 207]
2012-03-19 03:27:20 Debug: Notice (8): Undefined index: Request in [C:\wamp\www\itjp-project\controllers\users_controller.php, line 419]
2012-03-19 03:27:20 Debug: Notice (8): Undefined index: newsletter_flag in [C:\wamp\www\itjp-project\views\users\admin_edit.ctp, line 119]
2012-03-19 03:27:20 Debug: Notice (8): Undefined index: critical_flag in [C:\wamp\www\itjp-project\views\users\admin_edit.ctp, line 137]
2012-03-19 03:27:41 Debug: Notice (8): Undefined index: Request in [C:\wamp\www\itjp-project\controllers\users_controller.php, line 420]
2012-03-19 03:27:41 Debug: Notice (8): Undefined index: newsletter_flag in [C:\wamp\www\itjp-project\views\users\admin_edit.ctp, line 119]
2012-03-19 03:27:41 Debug: Notice (8): Undefined index: critical_flag in [C:\wamp\www\itjp-project\views\users\admin_edit.ctp, line 137]
2012-03-19 03:28:59 Debug: Notice (8): Undefined index: Request in [C:\wamp\www\itjp-project\controllers\users_controller.php, line 420]
2012-03-19 03:47:34 Debug: Notice (8): Undefined index: Website in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 155]
2012-03-19 03:47:34 Debug: Notice (8): Undefined variable: website in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 160]
2012-03-19 03:47:34 Debug: Notice (8): Undefined variable: website in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 171]
2012-03-19 03:47:34 Debug: Notice (8): Undefined variable: website in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 176]
2012-03-19 03:47:34 Debug: Notice (8): Undefined variable: website in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 178]
2012-03-19 03:47:34 Debug: Notice (8): Undefined variable: website in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 180]
2012-03-19 03:47:34 Debug: Notice (8): Undefined variable: website in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 182]
2012-03-19 03:47:34 Debug: Notice (8): Undefined variable: website in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 204]
2012-03-19 03:47:56 Debug: Notice (8): Undefined index: Website in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 155]
2012-03-19 03:47:56 Debug: Notice (8): Undefined variable: website in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 160]
2012-03-19 03:47:56 Debug: Notice (8): Undefined variable: website in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 171]
2012-03-19 03:47:56 Debug: Notice (8): Undefined variable: website in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 176]
2012-03-19 03:47:56 Debug: Notice (8): Undefined variable: website in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 178]
2012-03-19 03:47:56 Debug: Notice (8): Undefined variable: website in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 180]
2012-03-19 03:47:56 Debug: Notice (8): Undefined variable: website in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 182]
2012-03-19 03:47:56 Debug: Notice (8): Undefined variable: website in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 204]
2012-03-19 04:05:13 Debug: Notice (8): Undefined index: role in [C:\wamp\www\itjp-project\controllers\users_controller.php, line 270]
2012-03-19 04:05:13 Debug: Notice (8): Undefined index: website_count in [C:\wamp\www\itjp-project\controllers\users_controller.php, line 290]
2012-03-19 06:39:06 Debug: Notice (8): Undefined index: Website in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 155]
2012-03-19 06:39:06 Debug: Notice (8): Undefined variable: website in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 160]
2012-03-19 06:39:06 Debug: Notice (8): Undefined variable: website in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 171]
2012-03-19 06:39:06 Debug: Notice (8): Undefined variable: website in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 176]
2012-03-19 06:39:06 Debug: Notice (8): Undefined variable: website in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 178]
2012-03-19 06:39:06 Debug: Notice (8): Undefined variable: website in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 180]
2012-03-19 06:39:06 Debug: Notice (8): Undefined variable: website in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 182]
2012-03-19 06:39:06 Debug: Notice (8): Undefined variable: website in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 204]
2012-03-19 06:57:50 Debug: Notice (8): Undefined index: Website in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 155]
2012-03-19 06:57:50 Debug: Notice (8): Undefined variable: website in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 160]
2012-03-19 06:57:50 Debug: Notice (8): Undefined variable: website in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 171]
2012-03-19 06:57:50 Debug: Notice (8): Undefined variable: website in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 176]
2012-03-19 06:57:50 Debug: Notice (8): Undefined variable: website in [C:\wamp\www\itjp-project\views\users\admin_view.ctp, line 178]
